##NAMES=Benitoite
##RRUFFID=R050320
##IDEAL CHEMISTRY=BaTi^4+^Si_3_O_9_
##LOCALITY=San Benito County, California, USA
##OWNER=RRUFF
##SOURCE=American Museum of Natural History
##DESCRIPTION=Blue fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050320
##MEASURED CHEMISTRY=Ba_1.00_Ti_1.00_(Si_2.99_Al_0.01_)_Σ=3_O_9_
105.0291, 216.1031
106.9575, 224.3527
108.8860, 233.6469
110.8145, 245.3429
112.7429, 259.5293
114.6714, 275.5322
116.5999, 295.4832
118.5283, 316.3754
120.4568, 332.6656
122.3853, 345.5794
124.3137, 349.1460
126.2422, 337.8241
128.1707, 323.4123
130.0991, 309.4363
132.0276, 297.5594
133.9561, 291.0132
135.8845, 289.6566
137.8130, 295.0183
139.7415, 306.7932
141.6699, 324.7473
143.5984, 350.9877
145.5269, 382.7604
147.4553, 415.9948
149.3838, 449.5067
151.3123, 488.4679
153.2407, 535.5588
155.1692, 584.3369
157.0977, 649.0710
159.0261, 704.0852
160.9546, 717.4554
162.8831, 683.6764
164.8115, 632.8388
166.7400, 550.0240
168.6685, 478.1715
170.5969, 427.0892
172.5254, 396.2433
174.4539, 387.5259
176.3823, 400.7484
178.3108, 422.7448
180.2393, 456.3097
182.1677, 489.2457
184.0962, 518.8901
186.0247, 547.1488
187.9531, 573.3011
189.8816, 598.9748
191.8101, 630.4655
193.7385, 667.5588
195.6670, 711.3641
197.5955, 770.2269
199.5239, 822.5399
201.4524, 860.1668
203.3809, 885.3633
205.3093, 895.6872
207.2378, 890.2831
209.1663, 902.3083
211.0947, 936.1027
213.0232, 980.9232
214.9517, 1055.639
216.8801, 1119.679
218.8086, 1141.443
220.7371, 1121.458
222.6655, 1069.594
224.5940, 979.7832
226.5225, 895.6787
228.4509, 829.2892
230.3794, 770.9959
232.3079, 720.3820
234.2363, 674.4763
236.1648, 625.3051
238.0933, 573.7201
240.0217, 534.3972
241.9502, 509.9324
243.8787, 497.7402
245.8071, 498.1156
247.7356, 508.2179
249.6641, 527.7155
251.5925, 555.2540
253.5210, 587.5668
255.4495, 625.6223
257.3779, 662.5806
259.3064, 704.0773
261.2349, 735.7550
263.1633, 758.6837
265.0918, 764.3870
267.0203, 741.2488
268.9487, 692.4129
270.8772, 631.2377
272.8057, 549.1845
274.7341, 473.6125
276.6626, 405.3249
278.5911, 346.5790
280.5195, 300.2176
282.4480, 263.8217
284.3765, 234.1370
286.3049, 211.3418
288.2334, 193.5609
290.1619, 182.6544
292.0903, 173.7467
294.0188, 166.3762
295.9473, 160.6064
297.8757, 155.9714
299.8042, 153.0449
301.7327, 153.5070
303.6611, 158.0773
305.5896, 164.0066
307.5181, 171.8885
309.4465, 180.0211
311.3750, 188.3319
313.3035, 196.3227
315.2319, 202.2473
317.1604, 207.6499
319.0889, 217.1549
321.0173, 230.1732
322.9458, 250.5363
324.8743, 278.3267
326.8027, 313.1592
328.7312, 359.0879
330.6597, 408.1137
332.5882, 457.0650
334.5166, 504.2634
336.4451, 543.2139
338.3736, 572.3667
340.3020, 601.8378
342.2305, 631.6063
344.1590, 662.7338
346.0874, 695.9174
348.0159, 730.3534
349.9444, 763.3771
351.8728, 797.6891
353.8013, 840.6868
355.7298, 892.3522
357.6582, 952.6826
359.5867, 1026.116
361.5152, 1094.803
363.4436, 1159.802
365.3721, 1210.011
